text,label,google,ckip
超級忙碌的工作真刺激[哈哈],1,1,1
很好，我很喜歡，送貨快,1,1,1
"[good]//@AD自耕農: [哈哈]好趨勢。//@李農Beijing:@AD自耕農 @鄭治 我越來越覺得我們要做的事，整個是拉動內需呀，肯定行....@隗公程_Barry 現在就看你們的啦....//@畫鬍子: WOW 難以想象!之前聽到最多的是網絡營銷部分,沒想到大選對CRM的運用到了如此地步",1,1,1
回覆@小肥King是惡魔耶:米兔[哈哈] //@小肥King是惡魔耶:[握手] 我用的是360， 你的呢？ //@海南旅遊達人阿九姑娘:[偷笑] 基本是看時間、擊敗數，然後點右上角交叉。。。,1,1,1
給老媽買來看視頻的，還不錯，挺流暢的，就是黑邊感人,1,1,1
北京歡迎您[鼓掌],1,1,1
小萌雞小萌雞！！[親親],1,1,1
很滿意的一次購物！京東商城，京東快遞都很給力！收到的貨物外包裝完好，裏面的寶貝也完好無損，特別感謝配送員趙先生！,1,1,1
我的男生朋友們，好好看看，很實用。[抱抱],1,1,1
產品經理的形象太生動了。[抱抱],1,1,1
好吧。吵一天了，我終於想起來何老師請客的典故了。是@程浩 浩哥說俺們學校的飯菜好喫引起的吧。請你們，@七妙 @年年二十五 @程浩 食堂走起[哈哈]歡迎@小柳菁兒 @東子愛拍的 @網際飛俠 @攝影師火牛 一同前來，那咱就去學校高端大氣上檔次的餐廳，海底撈大學嘛，要啥有啥[噓][哈哈]#欣愛旅行#之可愛滴人,1,1,1
現在我們每天都會與作者和出版社合作送書活動，給“多看閱讀”的讀者以更多福利！//@多看閱讀: 看謠言，猛點http://t.cn/zYS9HYJ 欲知更多謠言！轉發微博或直接購買[嘻嘻],1,1,1
1.從下單到提貨，24小時之內完成，京東的速度很讓人滿意，贊一個。 2.第一次在京東買東西，總體還滿意，但京東的提貨處工作人員的着裝有待提高。 3.機器很好用，沒任何問題到目前爲止。 4.整個安裝時間4小時，沒碰到任何問題，很意外。。。,1,1,1
我愛新片[愛你],1,1,1
蘋果包裝完好，喫起來香甜可口！,1,1,1
褲子真心不錯，一直都穿這個牌子的，質量真心好，好舒服，穿着帥氣大方，一級棒，還送小禮物呢，挺滿意的一次購物，朋友看了也很喜歡喔，我還很自豪地介紹他們來買了，相信下次還會再來的，祝店家生意興隆。,1,1,1
好喫好喫，非常好喫的一種蘋果，以後還會繼續買。。。。。。。。。,1,1,1
設計的方方正正，鍵盤很好用，是款商務本 散熱不錯，連續用5個小時，風扇也不蜂鳴。 性價比不錯，512顯存，我做flash設計沒問題。,1,1,1
三天的假期大家都紛紛回家啊。有這三天我寧願用來睡覺。。省來回的路費，省旅途的勞累。。多經濟划算啊。。[哈哈]想來其實不回家也有事情要做，閒不住了，這樣不好。。[委屈]#欣在自說自話#,1,1,1
哼！！！哈哈 哪有無數個名字啦？！都怪我瓜西西的把地址搞掉了 [嘻嘻] //@XIAOKUANXIAOKUAN:我以爲是專門給我得結果上面寫了無數個名字！ //@sameskin:哇好美 有我的嗎？我不是已經收到一張紙片的~,1,0,1
黑白藍三種色調的搭配，有你喜歡的麼？[愛你]【私享穿衣顧問微信：FashionTalent33 】,1,1,1
褲子質量真的很好，價格也很便宜，買之前我問了客服，客服推薦的也很合適，謝謝^ω^,1,1,1
這鞋子真霸氣[哈哈],1,1,1
我的維尼公主！你實在太乖了！讓你幹嘛你就幹嘛！第一次這樣仔細看你實在是太激動了！@馬_小川 [愛你],1,1,1
回覆@LeOLeElr:因爲智商[嘻嘻] //@LeOLeElr:是什麼讓他們這樣看我們。。。 //@小虎同學tiger:回覆@Lucy-燕子:二比快樂多啊，你看彎彎多快樂[哈哈]  //@Lucy-燕子:難道他們大部分人真的這麼認爲嗎？,1,1,1
我並沒有實際前往，而是幫我經理預定的。但是我經理回來對這個酒店評價還可以，和我說NO BAD，我想應該還是可以的了。,1,1,1
早起的感覺很不錯嘛[哈哈],1,1,1
這本書看上去陣容十分強大，名家著作，名家推薦粗略翻了一下，總體感覺還是缺少一些必要的信息比如對於一個作曲家，重點介紹其代表作品的同時最好也列出其全部作品目錄作爲一本普及型的入門教材自然無法要求其內容深度，但本書在廣度上似乎也有點欠缺吧不過已經比很多書好了。另外隨贈的cd是片段節選，基本沒用。,1,0,1
原來剛剛接觸杜拉拉的時候，不知道人力資源是個什麼東西，現在我以及決定考人力資源專業的研究生了，當然不只是因爲杜拉拉，而是我發現了我對人力資源的濃烈興趣。2也是一樣的好，像1一樣。講述了職場的喜怒哀樂，或者身不由己，雖然我現在還沒有步入社會。但是已是完全的社會人。世俗的想法，圓滑的做人技巧。還有身邊的人的影子，都能在杜拉拉里面找到一個類似的人,1,1,1
這個價位，物超所值了，媽媽追劇好裝備。,1,1,1
今天剛收到貨，很香。價格當然是不用說的實惠，晚上試試效果。過幾天我會再來追加評論的。希望不會讓我失望纔好。,1,1,1
1、馬來西亞吉隆坡2、臺北101高3、方大同的小小蟲//@百度旅遊: #我照你猜# 猜猜看~ 1、這是哪個城市呢？2、它和臺北101誰高？3、你最喜歡方大同哪一首歌~ 猜中有獎！[耶]老規矩~ 關注 @百度旅遊 ，轉發此微博並在明天12：00前寫下答案，全猜中的盆友就有可能獲得百度旅遊限量版明信片套裝哦！~[嘻嘻],1,1,1
畢業快樂[可愛] //@劉思雨Jerry:恭喜海音畢業，今天有幸被邀請去參加典禮，認識了不少新朋友，雖然極度困，但是還是感覺非常充實，一起加油！既然選擇前方，就註定風雨兼程！@四水歸堂攝影創意,1,1,1
還不錯。老人家用來看電視挺好。,1,1,1
口感非常非常非常好 ，京東真的值得信賴！ 強烈推薦大家購買 這纔是真正的好蘋果 ，超市買不到的。,1,1,1
[哈哈]//@katiexixi: @帥太 @楊仔and媽媽 @大可-逸而全真 @方達Fangterry @??嘉-無常-不?-?喜 @xjoliemonica @小張爺 @張丹Polonana,1,1,1
現實版地下工作者[哈哈] //@張醒生:這個真實段子精彩!//@書畫家作家陳祖芬:！！//@富敏榮律師:呵呵,1,1,1
"#搶房券#: 贏取一份5天的北京之旅房券，就趁現在[太開心]#女人節有獎轉發#贏取位於#北京王府井#的@北京國際藝苑皇冠假日酒店 #五晚住宿房券#(含早餐和網絡服務)[鼓掌]您可臨近遊覽紫禁城(故宮)皇家園林(北海、景山)更可到王府井商業步行街Shopping並品嚐北京小喫 如此誘人的獎品,還不行動 [得意地笑]",1,1,1
別扯馬蘇裏奶酪了好麼，在家樂福能買到蒙牛巧克力味早餐兒童奶酪就不錯了好麼！買到伊利煙燻味奶酪我都哭了好麼！,1,1,0
嘖嘖 //@竹林江語:春運帝國 // @空遊無依 ://  @邢其林  : [哈哈]//  @秋木葉鞦韆  : 有道理“尼瑪設計師跑中國來，定是趕上春運了！！！！”,1,1,1
有命就可以創造一切[偷笑][偷笑]您說呢 //@全球奇事趣聞:你會選什麼？[嘻嘻],1,1,1
親愛的，太愛你們了，麼麼噠[親親],1,1,1
準時，味道也好，餐盒包裝好，五星好評,1,1,1
這個味道我很喜歡，包裝不錯，是正品，親們可以放心購買。,1,1,1
回覆@日本評論:[哈哈][哈哈][哈哈] //@日本評論:@馬劍是誰 //@侯寧:誰還春困？快來提提神！[抓狂],1,1,0
回覆@鄧元釗:?老子的，啥叫都不是外人？莫非你?是我?人嗦？真所?：羞已知道你，你?不知羞。[哈哈][哈哈][哈哈] //@鄧元釗:你想給秧白表白點啥子用不作把老子拉來墊背薩，都不是外人,1,0,1
8月9日至10月13日，上海環球金融中心將在4樓展廳推出“3D趣味寫真館”，奧特曼、櫻桃小丸子、名偵探柯南這三大喜聞樂見的卡通形象將實現世界首次同臺競演。展覽的營業時間爲上午10點至晚上9點，成人票價60元，1米4以下兒童票爲30元。妙趣橫生的室內活動，同學們快MARK！[鼓掌],1,1,1
【#天天向上錄製直擊#】汪涵：觀衆就是我們的衣食父母...  錢楓：爹~媽~ 觀衆：誒......   [嘻嘻][哈哈][哈哈][哈哈],1,1,1
喜歡這個黑皮衣，mark下地址~[太開心],1,1,1
早呀！[哈哈]//@Xinjiletu2012:@kk3_kay @斯琴格日樂歌迷會 @斯琴高娃mongol @河邊河邊邊,1,1,1
#小米在美國#看看美國的城市小菜市場都賣啥？各種新鮮的食材大多按小盒或小筐賣[調皮]很像隆福寺早市搓堆兒賣東西！初秋的美國收穫季節，這景色能不心情好嗎？生活其實就是簡單的幸福[調皮]一家人一起買菜做飯，喫飯。[饞嘴]看着孩子一點點長大，自己一點點變老！！！[愛你],1,1,1
我是戰神，@男人裝 得這圖片不錯！[嘻嘻] //@張小婉Vivian:哈哈哈！！改天打個架試試……,1,1,1
"葉海花,不是絕色美女,用心用情,認真的活,認真的愛,不管不顧,只爲了自己的心,而不是其它的雜物!而云崢給了她一個女孩子能得到的最好的愛情,寬容,尊重,寵愛.沒有教育和改造,這是一份書中才有的愛情吧!",1,1,1
酒店位置好，環境可以，房間就是小了點，不過出差住在這裏是很不錯的選擇。,1,1,1
長期大量招聘廣告人才[偷笑][偷笑][親親]，工作地點北上廣，有意的私信我哈[抱抱],1,1,1
是大掌櫃的給俺準備的＂勞動節＂禮物，無限開心中... [親親],1,1,1
還真是這樣的@哥哥叫Jessica @叮?叔叔 //@鳳凰劉建東: 看來你的不夠三條//@薩博slinna: 能有其中三條我就知足[哈哈],1,1,1
"酒店不錯,已多次住過,同等價格下次還會入住.",1,1,1
"我是4月3日去的,人比較小,在前臺要特別說明纔拿到向山景方向的房間.從房間的陽臺望出去的風景真是太美了,房間的裝修開始陳舊了.早餐的種類算比較多,不錯。溫泉裏的服務也很好,溫泉池也比較乾淨.有時間的話我還會到這裏度假(一定要選在非節假日).賓館反饋2008年5月29日：酒店分爲山景與河景兩個方向，都很美麗，透過180度大陽臺，可以欣賞到外面美麗的自然風景，歡迎您下次光臨！",1,1,1
