text,label,google
真的城管真的狠惡心拿什麼來拯救你們這些土匪啊[怒]文明社會文明執法心寒啊[鄙視][鄙視],0,1
下午，有抄襲前科的網文作者和營銷號爲蹭熱度集體出來道歉，12月31日正式成爲“反抄襲日”。,0,0
我還以爲都是自己畫的呢原來已經批量化了…………[哈哈],0,1
你們居然還用張顯那種人靠虧我還在電子科技大學上過真丟人,0,0
你怎麼選了個鄉村郵遞員的款式我還以爲你要挑選1號騷包款呢[偷笑]上右,0,0
你們誰見過齊B小短裙啥樣兒齊B小短裙看來兩會上有乾爹沒幹爹就是不一樣,0,0
和你學呀不喫早餐[哼]。。。還好意思叫別人照顧好自己你呢[怒]==空心竹。。。52#願奇隆一生幸福平安#,0,0
女性仿妝或成培訓行業新藍海。張飛、李逵、魯智深等經典大漢形象會成爲女性仿妝教學的重中之重，因爲學會了這些，她們就能在某些地方喫上大份盒飯了。 ​​​,0,1
剛剛，墨酉哥警方致電《毒梟》劇組，稱他們爲新一季《毒梟》做了一個campaign，無論線下執行還是線上傳播都很成功，不但邀請了重量級人物參與，而且這次campaign的主題還與上一季結尾時毒梟瘦子指揮軍隊的懸念相呼應。因此這次的推廣至少值一千萬美元。 ​​​,0,1
武漢某高校教授發表論文《東北人‘能動手就儘量不吵吵'的性格成因分析》，論文稱這全是因爲“冷”：天冷人們不愛囉嗦，同時動手還可以取暖，所以形成這種性格。文末提醒，國民日益矯情的當下，南方若不供暖，南方人也將更愛動手，或致國內暴力事件飆升。 ​​​,0,0
C羅今天的任意球各種不靠譜……好吧我再次鑑定大家還在過節沒進入工作狀態,0,0
"可以再蠢一點!剛剛倒水開錯開到熱水去~~~燙到手>""",0,1
“我不知道我哪裏做錯了，她就狠心讓我給她當伴娘…”女生小茜哭着告訴記者，自己一直把好友娟娟當最親的閨蜜，結果娟娟卻挑她當伴娘。隨後我社聯繫到下月結婚的娟娟，娟娟解釋，因爲小茜在朋友圈曬倆人的合照時，足足有5次沒有幫她美圖，讓她當伴娘就是想借機懲罰下她。,0,0
甄功夫真垃圾如來佛一巴掌就收了你[微風]Andy知道你這幾天辛苦了[good],0,0
真是太妙了，昨晚一夜折騰，完全忘了今早該去看甲狀腺醫生。沒藥了。太～～～妙了。:-&,0,1
"很好。今天整個睡過頭,還被小人兒罵臭頭...:-&",0,1
天哪~~38度C!!可以再熱一點！最高41度吔！烤焦了！,0,1
#諾基亞非凡派對# 你們想幹嘛？唯恐天下不亂是吧？我就擺保險櫃了，咋樣！我保險櫃多着呢！你敢說你沒用過諾基亞？！,0,0
很好，我剛回到家，等等要線上補課，就這樣,0,1
8歲男孩摸一個女生的屁股，100%是出於天真無邪的善意，應該是他覺得那人站得太累了，就上去幫按摩下屁股，緩解疲勞，這時正常人的反應都應是致謝而非指責。 ​​​,0,1
昨天看到一句話，很經典。“有些女人在找很man的男人，結果發現最man的是自己，”,0,1
我真虧你好意思發這個？不進chrome進誰？,0,0
回覆呵呵你講我一定也這樣轉述煙臺某報使陰招多了去了老王頭也不講還大勢呢,0,0
怨誰呢咱們請的管家可咱們連換掉的勇氣都沒有甚至連監督的權利也沒有再往裏說就是根基問題了你懂的,0,0
微軟官網可以再慢一點X-(,0,0
你把線人的褲衩都賣完了還狗屁保護，真虧你先人。,0,0
報道稱，儘管有的奧運裁判表現出色，但裁判並非他們的唯一職業和身份。有的裁判不但是裁判，他們甚至還是運動員，比如，他們中的不少就會留下來參加九月份的奧運賽事，其中盲人足球、盲人門球、盲人接力跑等都是他們的參賽強項。 ,0,1
就應該讓男人們都懷次孕你就知道老孃有多辛苦了JMs分享給你的另一半再對我們不好就讓他去懷孕,0,0
很好~我又要24小時沒睡覺啦:-&,0,1
傳媒大學一教授講課時點名批評了卓偉，說卓偉連新聞最基本的定義都不懂還妄自稱什麼中國第一狗仔。該教授稱卓偉明知娛樂圈沒有明星不抽菸卻還把鄭爽抽菸當成新聞來報，稱這簡直就是個笑話，並說卓偉如果能證明鄭爽不抽菸那才應該當成頭條大報特報。 ​​​,0,0
近日有專家稱，現在很多人抱怨沒有以前的年味了，其實這並不是因爲生活變好了。而是因爲對多數人而言年味就是鞭炮的味道，而如今霧霾天頻繁，霧霾的味道與鞭炮味道相近，導致人們平時就可以沉浸在幸福又美妙的年味之中，於是真到過年反而感覺年味淡了、沒了。,0,0
不用颱風我也看不到球賽了吧，可以再不爭氣一點啊,0,1
同部門的不能知道密碼，可以跟別公司的人說密碼，馬的....可以再機車一點！,0,0
啃!很好..這次尿在我的枕頭套上..而且牀墊也被用到了..X-(,0,1
以前國足先後學習過巴西、西班牙等，但都不太成功，現在需要找到新的學習對象。而當今公認的世界最佳C羅，有三大特點，一是勤奮，二是職業，三是不紋身，這三個特點中第三點最好學習，而C羅總共就三個特點，顯然學會一個就可達到C羅實力的三分之一，球員們有了這樣的實力基本就可保證躋身足球強國行列。,0,1
爲什麼不敢，你去給姐買個。姐賞你飽個眼福。，你敢再給勞資拽點嗎？[哼] 謝謝，可以考慮。，夜場必備@莞爾____,0,0
我真的受不了你的脾氣，你以爲你是誰？！憑什麼要別人都以你爲中心！你不是上帝，有時不要太過分！,0,0
很好，我的電腦又掛了,0,1
唸書很了不起嗎?脾氣可以再大一點!,0,0
