text,tag,label,google
個就是掉落人孔蓋裡。,→,0,0
辦公室跟國家隊成立數量和速度,→,0,1
原來也有養國外的網軍,推,0,0
真的好衰?絕命終結站?..,推,0,0
笑死，有夠噁心的党,噓,0,0
新北不意外 侯議員繼續跳針安居樂業,→,0,0
老師傅又調皮了,推,0,0
難怪工人被人瞧不起 一堆智能不足的都能做,→,0,0
一些噁心的媒體,推,0,0
噓自由，垃圾糞報,噓,0,0
根本就一群求偶焦慮無能男上街怨天尤人,→,0,0
綠共,推,0,0
厲害了 我的黨,推,0,1
黑道權貴詐騙集團越來越開心 外役監,→,0,0
又是党媒一條龍,推,0,0
詐騙 浮屍 光電百分比 物價,推,0,0
股市 房市,推,0,0
幹你媽 民進黨無恥之事又一件 台灣之恥,推,0,0
猴猴出歹事,推,0,0
太可怕了?但騎樓被堵住只能走人行道,→,0,0
台灣工安...,推,0,0
詐騙。房價,推,0,0
17樓掉落的冷氣機?,推,0,0
江湖了，不愧是選舉大黨,→,0,1
還以為是老舊冷氣結果是正在施工,推,0,0
人的尿性,→,0,0
推文有影片 好可憐 那邊還很多人在等公車,→,0,0
呢？可能又震怒一下然後草草結束,→,0,0
法官會不會說行人應注意未注意而不注意？,→,0,0
只要沾上不尊重女性、性騷、仇女 就會毀掉,→,0,0
林義雄、反核仔給我出來下跪道歉 賠償台,→,0,0
不就黨媒 有什麼奇怪,→,0,0
H,→,0,0
台灣公安地獄,→,0,0
詐騙集團民進黨,推,0,0
網軍 詐騙 外役監 黑道 綠媒蟑螂,→,0,0
高調!國民黨不好媒體不會好!!,推,1,0
徵信社去那邊搜集？在起訴一次？二次傷,→,0,0
幹你娘我不要出門了幹,噓,0,0
都市長官派就好,→,0,1
阻止人類增殖的能力進步很多,推,0,0
但他有說錯嗎????,推,0,0
造謠抹黑一條龍,推,0,0
只要是外國人的臉，都算是外國記者,推,1,0
笑死 民進党很會,噓,0,1
不講還以為是中國的新聞呢,推,0,0
台灣工安 嘻嘻,噓,0,1
不敢走在路上惹QQ,推,0,0
噁心 什麼都要演,→,0,0
功德賴：呼叫三粒冥士，開始抹黑帶風向,→,0,0
一條龍又來了 噁爆,→,0,0
好可怕，祝平安康復,推,0,0
網軍蓬勃發展，榮登新創產業榜首,推,0,1
又一個綠斗仔,推,0,0
關鍵字：工人總是愛說我以為?,→,0,0
